"STATEFP","STATE","STATEABBREVIATION","YEAR","INDICATOR","VALUE"
"30","Montana","MT","2014","pctunins","0.1965"
"31","Nebraska","NE","2014","pctunins","0.1268"
"32","Nevada","NV","2014","pctunins","0.2308"
"33","New Hampshire","NH","2014","pctunins","0.1192"
"34","New Jersey","NJ","2014","pctunins","0.1428"
"35","New Mexico","NM","2014","pctunins","0.208"
"36","New York","NY","2014","pctunins","0.1214"
"37","North Carolina","NC","2014","pctunins","0.1785"
"38","North Dakota","ND","2014","pctunins","0.1095"
"39","Ohio","OH","2014","pctunins","0.126"
"40","Oklahoma","OK","2014","pctunins","0.2043"
"41","Oregon","OR","2014","pctunins","0.1682"
"42","Pennsylvania","PA","2014","pctunins","0.1119"
"44","Rhode Island","RI","2014","pctunins","0.1221"
"45","South Carolina","SC","2014","pctunins","0.1857"
"46","South Dakota","SD","2014","pctunins","0.1312"
"47","Tennessee","TN","2014","pctunins","0.1576"
"48","Texas","TX","2014","pctunins","0.2431"
"49","Utah","UT","2014","pctunins","0.1566"
"50","Vermont","VT","2014","pctunins","0.0783"
"51","Virginia","VA","2014","pctunins","0.1381"
"53","Washington","WA","2014","pctunins","0.1476"
"54","West Virginia","WV","2014","pctunins","0.1575"
"55","Wisconsin","WI","2014","pctunins","0.1003"
"56","Wyoming","WY","2014","pctunins","0.1625"
"72","Puerto Rico","PR","2014","pctunins","0.0839"
